year,category,recipient,city,state,province,country,grant_description,award_amt
2000,HIGHER EDUCATION AND SCHOLARSHIP,Cornell University,Ithaca,New York,,,To support postdoctoral fellowships in the humanities and related social sciences,1400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Cornell University,Ithaca,New York,,,"To support Project Euclid, an electronic publishing initiative",750000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Cornell University,Ithaca,New York,,,To support the renewal of an undergraduate fellowship program,350000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Cornell University,Ithaca,New York,,,To improve the quality and effectiveness of graduate education within selected departments of the humanities and related social sciences while reducing time-to-degree and attrition rates,225000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Cornell University,Ithaca,New York,,,To support the development of archives for long-term maintenance of electronic journal publications,150000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Dartmouth College,Hanover,New Hampshire,,,To support the renewal of an undergraduate fellowship program,250000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Davidson College,Davidson,North Carolina,,,To support pilot activities in its orientation program,142000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Dickinson College,Carlisle,Pennsylvania,,,To develop enrollment management strategies,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Duke University,Durham,North Carolina,,,To support postdoctoral fellowships in the humanities and related social sciences,2000000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Duke University,Durham,North Carolina,,,To support the renewal of an undergraduate fellowship program,350000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Duke University,Durham,North Carolina,,,To support its summer research opportunities program,275000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Eastern Cape Higher Education Association Trust,Port Elizabeth,,,South Africa,To support the creation of a shared library system in South Africa's Eastern Cape Province,1175000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Eastern Seaboard Association of Tertiary Institutions,Durban,,,South Africa,"To support an inter-institutional, collaborative research program",80000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Emory University,Atlanta,Georgia,,,To support new fellowship programs,475000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Emory University,Atlanta,Georgia,,,To support a fellowship program that would allow advanced graduate students at Emory to teach at Dillard University,450000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Emory University,Atlanta,Georgia,,,To support a Sawyer Seminar on the historical and cultural sources of contemporary developments,110000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Foundation for Library and Information,Pretoria,,,South Africa,To support acquiring and installing an integrated library management system for the National Library of South Africa,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Frick Collection,New York,New York,,,To support a systematic survey of the photographic images held by the Frick Art Reference Library to determine the nature and distribution of classes of intellectual property rights ownership in those images,25000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Friends of Hungarian Higher Education Foundation,Budapest,,,Hungary,To support the introduction of effective resource development techniques and institutional advancement practices into Hungarian higher education,20000
2000,HIGHER EDUCATION AND SCHOLARSHIP,The Graduate School and University Center,New York,New York,,,To support a Sawyer Seminar on the historical and cultural sources of contemporary developments,110000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Great Lakes Colleges Association, Inc.",Ann Arbor,Michigan,,,To support programs in information literacy and collaborative collections management,650000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Great Lakes Colleges Association, Inc.",Ann Arbor,Michigan,,,To promote cooperation and collaboration among liberal arts colleges,500000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Great Lakes Colleges Association, Inc.",Ann Arbor,Michigan,,,"To support centers for educational technology in the Northeast, South, and Midwest",147500
2000,HIGHER EDUCATION AND SCHOLARSHIP,Grinnell College,Grinnell,Iowa,,,To support faculty career enhancement,102000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Hampshire College,Amherst,Massachusetts,,,To assist presidents of liberal arts and historically black colleges to meet the goals they have set for their respective institutions,250000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Hampton University,Hampton,Virginia,,,To assist presidents of liberal arts and historically black colleges to meet the goals they have set for their respective institutions,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Hampton University,Hampton,Virginia,,,To support a project measuring the pedagogic effectiveness and costs of using technology to improve undergraduate instruction,100000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,Cambridge,Massachusetts,,,To evaluate whether intensive college counseling of high school students can close the gap in college attendance between high and low-income youth,700000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,Cambridge,Massachusetts,,,To support the renewal of an undergraduate fellowship program,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,Cambridge,Massachusetts,,,To support a program of teaching and research on the history of modern physical science,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,Cambridge,Massachusetts,,,To strengthen doctoral training in Latin American history,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,Cambridge,Massachusetts,,,"To support digitizing, cataloging, and making available photographs documenting American women's history",295000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,Cambridge,Massachusetts,,,To complete and document a study of undergraduate writing,255000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,Cambridge,Massachusetts,,,To improve the quality and effectiveness of graduate education within selected departments of the humanities and related social sciences while reducing time-to-degree and attrition rates,225000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,Cambridge,Massachusetts,,,To support the development of archives for long-term maintenance of electronic journal publications,145000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,Cambridge,Massachusetts,,,For use by the Counseling and Consulting Psychology Program of the Graduate School of Education for data collection on the Medical School Diversity Study,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,Cambridge,Massachusetts,,,"To support planning on how libraries, museums, and archives can utilize new search and retrieval technologies to make cataloging and information pertaining to their collections more visible to Internet users",19000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,Cambridge,Massachusetts,,,"To support the Timbuktu Library project in Mali, Africa",2500
2000,HIGHER EDUCATION AND SCHOLARSHIP,Harvey Mudd College,Claremont,California,,,To support the development of a pilot program in international education and technology,170000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Haverford College,Haverford,Pennsylvania,,,To support faculty career enhancement,700000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Haverford College,Haverford,Pennsylvania,,,To support new fellowship programs,475000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Haverford College,Haverford,Pennsylvania,,,To strengthen the relationship between the academic and residential programs,150000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Heritage College,Toppenish,Washington,,,To support new fellowship programs,630000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Heritage College,Toppenish,Washington,,,To plan and prepare a proposal to the Foundation to establish an institute for the preservation and study of the Sahaptin language group and their cultures,40000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Higher Education Policy Institute,San Jose,California,,,To support costs of an external review of the National Center for Public Policy and Higher Education's state-by-state report card project on higher education needs,15000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Historical Society of Pennsylvania,Philadelphia,Pennsylvania,,,"To support a comprehensive analysis of the Society's manuscript, graphics, and art and artifact collections and the development of a long-range plan for the systematic preservation and cataloging of these materials",250000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Hobart and William Smith Colleges,Geneva,New York,,,To support existing environmental studies programs,290000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Hunter College,New York,New York,,,To support the renewal of an undergraduate fellowship program,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Illinois Wesleyan University,Bloomington,Illinois,,,To assist presidents of liberal arts and historically black colleges to meet the goals they have set for their respective institutions,250000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Institute for Advanced Study,Princeton,New Jersey,,,To support visiting memberships for young scholars within the School of Historical Studies,650000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Institute for Democracy in South Africa,Pretoria,,,South Africa,To support research and publication on South Africa's Truth and Reconciliation Commission,30000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Jamaica Center for Arts and Learning, Inc.",Jamaica,New York,,,To support establishment of the College Choice Program,45000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Johnson C. Smith University,Charlotte,North Carolina,,,To expand the interdisciplinary program,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,JSTOR,New York,New York,,,To cover initial costs of adding art history journals to its database,2800000
2000,HIGHER EDUCATION AND SCHOLARSHIP,JSTOR,New York,New York,,,To support detailed studies of the use of the JSTOR database,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Kenyon College,Gambier,Ohio,,,To support appointments of junior or intermediate faculty members in humanities or social sciences in advance of key retirements,800000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Latin American Studies Association, Inc.",Pittsburgh,Pennsylvania,,,To enable Latin American scholars to attend its annual Congress and to extend the Lecturing Fellowship program,150000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Lawrence University,Appleton,Wisconsin,,,To assist presidents of liberal arts and historically black colleges to meet the goals they have set for their respective institutions,250000
2000,HIGHER EDUCATION AND SCHOLARSHIP,LeMoyne-Owen College,Memphis,Tennessee,,,To strengthen the relationship between the academic and residential programs,45000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Lewis and Clark College,Portland,Oregon,,,To assist presidents of liberal arts and historically black colleges to meet the goals they have set for their respective institutions,250000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Library Information Network Consortium,Riga,,,Latvia,To support training librarians,19000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Library Information Network Consortium,Riga,,,Latvia,To support training in cataloging,16000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Library Information Network Consortium,Riga,,,Latvia,To support the attendance of the National Librarian at the International Federation of Library Associations Conference in Jerusalem,2500
2000,HIGHER EDUCATION AND SCHOLARSHIP,Macalester College,Saint Paul,Minnesota,,,To support new fellowship programs,475000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Macalester College,Saint Paul,Minnesota,,,To strengthen the relationship between the academic and residential programs,88000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Macalester College,Saint Paul,Minnesota,,,To support the development of a research agenda on competition and cooperation in higher education,46000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Macalester College,Saint Paul,Minnesota,,,To support research on determinants of the degree of civic engagement among college graduates,45000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Massachusetts Institute of Technology,Cambridge,Massachusetts,,,To support the development of standards and a system for Web-enabled education,2450000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Massachusetts Institute of Technology,Cambridge,Massachusetts,,,"To support the establishment of a Center for the Study of Diversity in Science,Technology, and Medicine",750000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Massachusetts Institute of Technology,Cambridge,Massachusetts,,,To support the development of an economic plan for sustaining an archive of the digital intellectual output of faculty and research staff,215000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Massachusetts Institute of Technology,Cambridge,Massachusetts,,,To support the development of archives for long-term maintenance of electronic journal publications,145000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Massachusetts Institute of Technology,Cambridge,Massachusetts,,,To support a Sawyer Seminar on the historical and cultural sources of contemporary developments,107000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Michigan State University,East Lansing,Michigan,,,To support a collaborative cultural heritage training and technology program in South Africa,600000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Middlebury College,Middlebury,Vermont,,,To support existing environmental studies programs,285000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Middlebury College,Middlebury,Vermont,,,"To support centers for educational technology in the Northeast, South, and Midwest",150000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Middlebury College,Middlebury,Vermont,,,"To establish the Institute for Technology and the Liberal Arts in South Burlington,Vermont",50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Minnesota Private College Research Foundation,St. Paul,Minnesota,,,"To support the project ""Paying For College-- Access, Affordability and Choice in Minnesota Higher Education""",50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Morehouse College,Atlanta,Georgia,,,To strengthen the relationship between the academic and residential programs,58000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Morris Brown College,Atlanta,Georgia,,,"To create a summer program enabling undergraduates to conduct research in international studies, in collaboration with the University of Minnesota",50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Mount Holyoke College,South Hadley,Massachusetts,,,To strengthen the relationship between the academic and residential programs,95000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Mount Holyoke College,South Hadley,Massachusetts,,,To study the consequences of making the SAT exam optional for admission to the college,33795
2000,HIGHER EDUCATION AND SCHOLARSHIP,Mount Holyoke College,South Hadley,Massachusetts,,,To secure key staff to develop the technology centers' project,23160
2000,HIGHER EDUCATION AND SCHOLARSHIP,Muhlenberg College,Allentown,Pennsylvania,,,To support professional development activities for faculty,47600
2000,HIGHER EDUCATION AND SCHOLARSHIP,National Academy of Sciences,Washington,DC,,,To support the evaluation of electronic book usage,216000
2000,HIGHER EDUCATION AND SCHOLARSHIP,National Academy of Sciences,Washington,DC,,,"To support research on racial trends in population and their consequences for health, education, and employment",50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"National Association of Mathematicians, Inc.",Baltimore,Maryland,,,To support undergraduate mathematical research conferences for African-American students,150000
2000,HIGHER EDUCATION AND SCHOLARSHIP,New Jersey Historical Society,Newark,New Jersey,,,To support a study to select an online public access catalog,18000
2000,HIGHER EDUCATION AND SCHOLARSHIP,New York Academy of Sciences,New York,New York,,,"To support the preparation and publication of the proceedings from the conference entitled ""Unity of Knowledge: the Convergence of Natural and Human Science""",30000
2000,HIGHER EDUCATION AND SCHOLARSHIP,New York Academy of Sciences,New York,New York,,,To support the acquisition and implementation of computing hardware and software,25000
2000,HIGHER EDUCATION AND SCHOLARSHIP,New York Public Library,New York,New York,,,To support the preservation of the Library's general research collections,2250000
2000,HIGHER EDUCATION AND SCHOLARSHIP,New York Public Library,New York,New York,,,To support the development of archives for long-term maintenance of electronic journal publications,150000
2000,HIGHER EDUCATION AND SCHOLARSHIP,New York University,New York,New York,,,To support completion of a five-year project to improve access to the New-York Historical Society's library collections,2365000
2000,HIGHER EDUCATION AND SCHOLARSHIP,New York University,New York,New York,,,To support a Sawyer Seminar on the historical and cultural sources of contemporary developments,108000
2000,HIGHER EDUCATION AND SCHOLARSHIP,New York University,New York,New York,,,To support the initial design and specification for a database structure and input application for the management and distribution of digitized music,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Newberry Library,Chicago,Illinois,,,To support postdoctoral fellowships in the humanities,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Northeast Document Conservation Center,Andover,Massachusetts,,,To send a faculty of four to South Africa to present a one-week workshop on digital conversion and microfilming,36000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Northwestern University,Evanston,Illinois,,,To support projects measuring the pedagogic effectiveness and cost of using technology to improve undergraduate instruction,150000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Northwestern University,Evanston,Illinois,,,To support the Honors Workshop Program in Biology and Chemistry designed to increase academic performance of minority students,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Oberlin College,Oberlin,Ohio,,,To endow a postdoctoral fellowship program,1500000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Oberlin College,Oberlin,Ohio,,,To support the renewal of an undergraduate fellowship program,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Occidental College,Los Angeles,California,,,To support existing environmental studies programs,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Occidental College,Los Angeles,California,,,"To support developing sustainable strategies for Web development and maintenance, and to provide a model for collaboration",275000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Occidental College,Los Angeles,California,,,To support upgrade of the administrative software used by the development and alumni offices,41000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Oxford Centre for Islamic Studies,Oxford,,,United Kingdom,"To support the production of printed and electronic versions of an Atlas of the Social and Intellectual History of Muslims in South Asia, and the development of a research database",520000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"PEN American Center, Inc.",New York,New York,,,To support modernization of International PEN's executive procedures,15000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Pennsylvania State University,University Park,Pennsylvania,,,"To assist in analyzing requirements for campus-wide multi-disciplinary systems for storage, search, retrieval, and scholarly use of digitized visual resources",755000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Pennsylvania State University,University Park,Pennsylvania,,,To support projects measuring the pedagogic effectiveness and costs of using technology to improve undergraduate instruction,450000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Pennsylvania State University,University Park,Pennsylvania,,,"To support new ""Mellon Seminars: Issues in Interpretation""",58000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Pitzer College,Claremont,California,,,To support a long-range planning initiative,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Pomona College,Claremont,California,,,To support faculty career enhancement,90000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Princeton University,Princeton,New Jersey,,,To support the renewal of an undergraduate fellowship program,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Princeton University,Princeton,New Jersey,,,To improve the quality and effectiveness of graduate education within selected departments of the humanities and related social sciences while reducing time-to-degree and attrition rates,225000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Princeton University,Princeton,New Jersey,,,To support the preparation and delivery of papers on critical issues facing doctoral education in the arts and sciences,34000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Princeton University,Princeton,New Jersey,,,To support the digitization of manuscripts and the cre- ation of an electronic monograph on book publishing in 18th century France,24000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Princeton University,Princeton,New Jersey,,,For use by the Slavic bibliographer at Firestone Library to deliver papers on JSTOR in Russia,3100
2000,HIGHER EDUCATION AND SCHOLARSHIP,Queens College,Flushing,New York,,,To support the renewal of an undergraduate fellowship program,350000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Randolph-Macon Woman's College,Lynchburg,Virginia,,,To assist 14 liberal arts colleges in Pennsylvania and Virginia to gain access to JSTOR,94500
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Recorded Anthology of American Music, Inc.",New York,New York,,,"To support the planning, design, and prototype implementation of the Database of Recorded American Music",250000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Reed College,Portland,Oregon,,,To support developing sustainable strategies for Web development and maintenance and to provide a model for collaboration,365000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Renaissance Society of America, Inc.",New York,New York,,,To support the editing and publication of the letters of Lorenzo de' Medici,220000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Rhodes University,Grahamstown,,,South Africa,To support an internship program aimed at developing potential academic staff from groups underrepresented in its faculty,900000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Rice University,Houston,Texas,,,To support the renewal of an undergraduate fellowship program,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Rochester Institute of Technology,Rochester,New York,,,"For use by the Image Permanence Institute to support the development of methods to improve preservation management in libraries, museums, and archives",500000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Rosenbach Museum & Library,Philadelphia,Pennsylvania,,,To endow a program of research fellowships,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Sarah Lawrence College,Bronxville,New York,,,To strengthen the relationship between the academic and residential programs,87000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Skidmore College,Saratoga Springs,New York,,,"To support the development of new courses for the law and society program, and for a review of advising and career development services",47600
2000,HIGHER EDUCATION AND SCHOLARSHIP,Smith College,Northampton,Massachusetts,,,To support appointments of junior or intermediate faculty members in humanities or social sciences in advance of key retirements,800000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Smith College,Northampton,Massachusetts,,,To support new fellowship programs,475000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Smith College,Northampton,Massachusetts,,,To support faculty career enhancement,91000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Smith College,Northampton,Massachusetts,,,"To develop a pilot program for future exchange initiatives between American liberal arts colleges and the University of Cape Town and other South African universities, in collaboration with Wellesley College",47500
2000,HIGHER EDUCATION AND SCHOLARSHIP,Social Science Research Council,New York,New York,,,To support core activities and new initiatives,1000000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Somerset House Art History Foundation,Merion Station,Pennsylvania,,,"To support upgrade of the user interface of the Witt Computer Index, which provides scholarly access to a subset of art objects represented in the photo archive held by the Witt Library of the Courtauld Institute of Art",20500
2000,HIGHER EDUCATION AND SCHOLARSHIP,South African Bibliographic and,Centurion,,,South Africa,To provide access to JSTOR for academic and research institutions in South Africa,340000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Southeastern Pennsylvania Consortium,Radnor,Pennsylvania,,,To permit 14 liberal arts colleges in Pennsylvania and Virginia to gain access to JSTOR,197500
2000,HIGHER EDUCATION AND SCHOLARSHIP,Spelman College,Atlanta,Georgia,,,To strengthen the office of institutional research,450000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Spelman College,Atlanta,Georgia,,,"To prepare female mathematicians for doctoral programs, in collaboration with Bryn Mawr College",115000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Spelman College,Atlanta,Georgia,,,To strengthen the relationship between the academic and residential programs,91000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Spelman College,Atlanta,Georgia,,,To support current efforts to enhance the orientation program,6000
2000,HIGHER EDUCATION AND SCHOLARSHIP,St. Mary's College of Maryland,Saint Mary's City,Maryland,,,To develop a case study to present at the 2001 Best Practices Seminar of the Global Partners Project,35000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Stanford University,Stanford,California,,,To support graduate research workshops in the humanities,650000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Stanford University,Stanford,California,,,To support evaluation of High Wire Press journal usage,650000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Stanford University,Stanford,California,,,To improve the quality and effectiveness of graduate education within selected departments of the humanities and related social sciences while reducing time-to-degree and attrition rates,450000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Stanford University,Stanford,California,,,To support the development of archives for long-term maintenance of electronic journal publications,440000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Stanford University,Stanford,California,,,To support the renewal of an undergraduate fellowship program,350000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Stanford University,Stanford,California,,,To support the development of computerized techniques for three-dimensional modeling of sculpture and cultural artifacts from the Renaissance,100000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Swarthmore College,Swarthmore,Pennsylvania,,,To endow a postdoctoral fellowship program,1500000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Swarthmore College,Swarthmore,Pennsylvania,,,To support the renewal of an undergraduate fellowship program,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Swarthmore College,Swarthmore,Pennsylvania,,,To support the development of sustainable strategies for Web development and maintenance and to provide a model for collaboration,280000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Syracuse University,Syracuse,New York,,,To support a project measuring the pedagogic effectiveness and costs of using technology to improve undergraduate instruction,112000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Teachers College - Columbia University,New York,New York,,,"To support research for the project ""The Education of Southern African Americans in Northern Research Institutions from Plessy to Brown (1896-1954)""",43000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Tsinghua University Education Foundation,Beijing,,,China,For use by the Tsinghua University Library in experimenting with the use of JSTOR,36000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Tulane University,New Orleans,Louisiana,,,To prepare African-American high school males for college,246000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Union College,Schenectady,New York,,,To support a study of the feasibility of using consortial approaches to provide post-retirement medical insurance at liberal arts colleges,190000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Union College,Schenectady,New York,,,To support reconceptualizing and restructuring the freshman preceptorial,39000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Union College,Schenectady,New York,,,To continue support for a study of faculty retirement at liberal arts colleges,8800
2000,HIGHER EDUCATION AND SCHOLARSHIP,Union Theological Seminary,New York,New York,,,To support the retrospective conversion of the Burke Library catalog to electronic form,1250000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"United Negro College Fund, Inc.",Fairfax,Virginia,,,To support the renewal of an undergraduate fellowship program and renewal of administrative expenses for summer internships in ecology research,2000000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"United Negro College Fund, Inc.",Fairfax,Virginia,,,To support a faculty doctoral program,1500000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"United Negro College Fund, Inc.",Fairfax,Virginia,,,To support a junior faculty career enhancement program,925000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of California,Oakland,California,,,To support planning for a study of alternative methods of managing library collections composed of both print and digital materials,80000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of California,Oakland,California,,,To support a study of alternative methods of managing library collections composed of both print and digital materials,670000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Berkeley,Berkeley,California,,,To support projects measuring the pedagogic effectiveness and costs of using technology to improve undergraduate instruction,350000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Berkeley,Berkeley,California,,,To improve the quality and effectiveness of graduate education within selected departments of the humanities and related social sciences while reducing time-to-degree and attrition rates,225000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Los Angeles,Los Angeles,California,,,To support postdoctoral fellowships in the humanities,770000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Los Angeles,Los Angeles,California,,,To support a longitudinal study of students' academic performance,370000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Cambridge,Cambridge,,,United Kingdom,"To support the purchase, cataloging, and repair of Isaac Newton's papers",674000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Chicago,Chicago,Illinois,,,To support postdoctoral fellowships in the humanities and related social sciences,1600000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Chicago,Chicago,Illinois,,,To strengthen doctoral training in Latin American history,550000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Chicago,Chicago,Illinois,,,To support the renewal of an undergraduate fellowship program,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Chicago,Chicago,Illinois,,,To improve the quality and effectiveness of graduate education within selected departments of the humanities and related social sciences while reducing time-to-degree and attrition rates,225000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Chicago,Chicago,Illinois,,,To support Sawyer Seminars on the historical and cultural sources of contemporary developments,220000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Connecticut,Storrs,Connecticut,,,To support a project that will preserve the archives of the African National Congress and conduct oral histories of its leadership,665000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Delaware,Newark,Delaware,,,To develop and distribute an Open Source Web application to enable institutions of higher learning to access information resources,770000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Denver,Denver,Colorado,,,To support a final appropriation for the International Career Advancement Program,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Florida,Gainesville,Florida,,,To support a study tracing the linkages between academic and industrial research,510000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Florida,Gainesville,Florida,,,To support projects measuring the pedagogic effectiveness and costs of using technology to improve undergraduate instruction,270000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Illinois at Urbana-Champaign,Champaign,Illinois,,,To support travel of the director and assistant director of the Mortenson Center for International Library Programs to South Africa to assess the need for a professional development program and training center,3000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Illinois at Urbana-Champaign,Champaign,Illinois,,,To support a training program for South African librarians,250000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Maryland,Adelphi,Maryland,,,For use by the Center for Environmental Studies to further collaboration of Appalachian colleges,430000
